campus,site_id,tipo,zona,sensor,ano,t_relativo,footprint_excluido,pixels_validos,pct_construida
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,2022,3,False,2628,32.8006
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,2023,4,False,2628,29.6423
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,landsat,2024,5,False,2628,38.8128
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,landsat,2013,-1,True,855,80.117
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,landsat,2014,0,True,716,81.5642
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,landsat,2015,1,True,847,88.6659
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,landsat,2016,2,True,866,87.8753
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,landsat,2017,3,True,866,88.4527
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,landsat,2018,4,True,866,91.224
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,landsat,2019,5,True,866,87.2979
ascenty-maracanau,ascenty-maracanau,tratamento,0-0.5km,landsat,2020,6,True,866,90.4157
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,landsat,2013,-1,True,2642,54.4285
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,landsat,2014,0,True,2642,58.2513
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,landsat,2015,1,True,2642,62.0363
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,landsat,2016,2,True,2642,64.383
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,landsat,2017,3,True,2642,66.5026
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,landsat,2018,4,True,2642,63.6639
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,landsat,2019,5,True,2642,58.5163
ascenty-maracanau,ascenty-maracanau,tratamento,0.5-1km,landsat,2020,6,True,2642,59.9924
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,landsat,2013,-1,False,884,12.6697
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,landsat,2014,0,False,884,10.0679
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,landsat,2015,1,False,884,10.6335
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,landsat,2016,2,False,884,8.4842
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,landsat,2017,3,False,884,8.5973
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,landsat,2018,4,False,884,7.2398
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,landsat,2019,5,False,884,6.448
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,landsat,2020,6,False,884,5.2036
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,landsat,2013,-1,False,2647,1.4734
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,landsat,2014,0,False,2647,0.9067
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,landsat,2015,1,False,2647,1.4734
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,landsat,2016,2,False,2647,1.0578
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,landsat,2017,3,False,2647,1.5111
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,landsat,2018,4,False,2647,0.8689
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,landsat,2019,5,False,2647,0.5667
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,landsat,2020,6,False,2647,0.7178
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,2017,-3,True,855,82.4561
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,2018,-2,True,855,78.9474
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,2019,-1,True,855,75.9064
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,2020,0,True,855,80.117
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,2021,1,True,855,84.7953
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,2022,2,True,855,80.3509
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,2023,3,True,846,82.2695
