campus,site_id,tipo,zona,sensor,classe_id,classe,pct_inicio,pct_fim,delta_pp
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,landsat,4,construida_urbana,11.3688,8.5407,-2.8281
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0-0.5km,landsat,5,agua,1.9796,1.6968,-0.2828
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,landsat,1,vegetacao_densa,52.3423,52.909,0.5667
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,landsat,2,vegetacao_rala,46.4677,45.7877,-0.68
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,landsat,3,solo_exposto_obras,0.0,0.0189,0.0189
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,landsat,4,construida_urbana,1.19,1.2845,0.0944
ascenty-maracanau,ctrl-ascenty-maracanau-p03,controle,0.5-1km,landsat,5,agua,0.0,0.0,0.0
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,1,vegetacao_densa,2.9825,2.9395,-0.0429
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,2,vegetacao_rala,15.614,14.753,-0.861
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,3,solo_exposto_obras,0.7018,0.9382,0.2364
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,4,construida_urbana,80.7018,81.3102,0.6084
ascenty-osasco,ascenty-osasco,tratamento,0-0.5km,landsat,5,agua,0.0,0.0591,0.0591
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,1,vegetacao_densa,4.6028,4.5837,-0.0191
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,2,vegetacao_rala,11.1917,11.3254,0.1337
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,3,solo_exposto_obras,0.1337,0.5539,0.4202
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,4,construida_urbana,84.0527,83.4798,-0.573
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,landsat,5,agua,0.0191,0.0573,0.0382
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,1,vegetacao_densa,1.9551,3.0892,1.1342
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,2,vegetacao_rala,12.0973,10.6979,-1.3994
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,3,solo_exposto_obras,0.1235,0.4577,0.3341
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,4,construida_urbana,85.8241,85.7551,-0.069
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0-0.5km,landsat,5,agua,0.0,0.0,0.0
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,1,vegetacao_densa,2.989,4.452,1.4631
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,2,vegetacao_rala,23.4816,23.921,0.4394
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,3,solo_exposto_obras,1.7043,1.0699,-0.6344
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,4,construida_urbana,71.3282,70.0028,-1.3254
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,landsat,5,agua,0.4969,0.5543,0.0573
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,1,vegetacao_densa,1.0035,2.0661,1.0626
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,2,vegetacao_rala,31.1688,23.2586,-7.9103
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,3,solo_exposto_obras,2.0661,1.5348,-0.5313
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,4,construida_urbana,65.5844,73.0815,7.497
ascenty-paulinia,ascenty-paulinia,tratamento,0-0.5km,landsat,5,agua,0.1771,0.059,-0.1181
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,1,vegetacao_densa,1.59,2.0115,0.4215
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,2,vegetacao_rala,34.3295,25.1341,-9.1954
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,3,solo_exposto_obras,3.6782,2.567,-1.1111
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,4,construida_urbana,59.9042,69.8276,9.9234
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,landsat,5,agua,0.4981,0.4598,-0.0383
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,1,vegetacao_densa,0.0,0.0,0.0
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,2,vegetacao_rala,22.3881,18.9437,-3.4443
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,3,solo_exposto_obras,4.248,4.535,0.287
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,4,construida_urbana,73.3639,76.5212,3.1573
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0-0.5km,landsat,5,agua,0.0,0.0,0.0
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,1,vegetacao_densa,13.3993,8.2223,-5.177
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,2,vegetacao_rala,31.7663,35.6871,3.9208
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,3,solo_exposto_obras,0.4378,0.7804,0.3426
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,4,construida_urbana,54.2634,55.2151,0.9517
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,landsat,5,agua,0.1332,0.0952,-0.0381
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,landsat,1,vegetacao_densa,2.1378,2.5534,0.4157
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,landsat,2,vegetacao_rala,6.6508,5.5819,-1.0689
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,landsat,3,solo_exposto_obras,3.1473,0.2969,-2.8504
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,landsat,4,construida_urbana,88.0048,91.4489,3.4442
ascenty-sumare,ascenty-sumare,tratamento,0-0.5km,landsat,5,agua,0.0594,0.1188,0.0594
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,landsat,1,vegetacao_densa,5.5664,7.0898,1.5234
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,landsat,2,vegetacao_rala,33.5156,35.4492,1.9336
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,landsat,3,solo_exposto_obras,1.5625,0.5469,-1.0156
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,landsat,4,construida_urbana,59.3164,56.8945,-2.4219
ascenty-sumare,ascenty-sumare,tratamento,0.5-1km,landsat,5,agua,0.0391,0.0195,-0.0195
