campus_id,lat,lon,dist_km,l1_dw,ano_referencia
exp-quantico-data-center,-30.10378868981791,-51.19026257439555,23,0.1443,2019
exp-quantico-data-center,-30.083085455566735,-51.247902240469784,23,0.9633,2019
exp-quantico-data-center,-30.050160291878164,-51.29735354347258,23,1.3167,2019
exp-quantico-data-center,-30.007267802075543,-51.335239920458946,23,1.2262,2019
exp-quantico-data-center,-29.957341797923043,-51.35898632961471,23,1.2074,2019
exp-quantico-data-center,-29.90379247156884,-51.366992828237585,23,0.975,2019
exp-quantico-data-center,-29.8502719129625,-51.358738623085,23,0.9625,2019
exp-quantico-data-center,-29.800424504056735,-51.33481087846394,23,1.0112,2019
exp-quantico-data-center,-29.7576393780627,-51.296858125767926,23,1.0243,2019
exp-quantico-data-center,-29.724821578996693,-51.247473193829364,23,0.8342,2019
exp-quantico-data-center,-29.70419694162023,-51.19001486322048,23,0.3275,2019
exp-quantico-data-center,-29.66119036640194,-51.1283808,27,0.0814,2019
exp-quantico-data-center,-29.732162325324392,-50.930653371710264,27,1.0011,2019
exp-quantico-data-center,-29.782377391848424,-50.88609353470508,27,1.0105,2019
exp-quantico-data-center,-29.840885839603178,-50.85798610991509,27,1.0255,2019
exp-quantico-data-center,-29.9037112890392,-50.848271179892095,27,1.0025,2019
exp-quantico-data-center,-29.966576382253805,-50.857644753453314,27,1.0689,2019
exp-quantico-data-center,-30.02519313939164,-50.885502284740824,27,1.0653,2019
exp-quantico-data-center,-30.07555616062314,-50.92997064996496,27,1.0373,2019
exp-quantico-data-center,-30.114218453942257,-50.988028899685276,27,0.9344,2019
exp-quantico-data-center,-30.138530334269213,-51.05571147222588,27,0.8044,2019
exp-quantico-data-center,-30.14682403359805,-51.1283808,27,0.5684,2019
exp-quantico-data-center,-30.138530334269213,-51.201050127774124,27,0.3959,2019
exp-quantico-data-center,-30.114218453942257,-51.26873270031473,27,1.3834,2019
exp-quantico-data-center,-30.07555616062314,-51.32679095003505,27,1.2025,2019
exp-quantico-data-center,-30.02519313939164,-51.37125931525918,27,1.6059,2019
exp-quantico-data-center,-29.966576382253805,-51.39911684654669,27,1.2804,2019
exp-quantico-data-center,-29.9037112890392,-51.40849042010791,27,1.057,2019
exp-quantico-data-center,-29.840885839603178,-51.398775490084915,27,0.9157,2019
exp-quantico-data-center,-29.782377391848424,-51.37066806529492,27,1.0284,2019
exp-quantico-data-center,-29.732162325324392,-51.32610822828974,27,1.0123,2019
exp-quantico-data-center,-29.693647988258576,-51.26814144152854,27,0.7413,2019
exp-quantico-data-center,-29.669444420406368,-51.20070876249042,27,0.4038,2019
exp-quantico-data-center,-29.6252175021652,-51.1283808,31,0.5539,2019
exp-quantico-data-center,-29.706678845079413,-50.901418123979795,31,0.9947,2019
exp-quantico-data-center,-29.764320609064423,-50.85024927645344,31,1.0016,2019
exp-quantico-data-center,-29.83148769325191,-50.817956771950605,31,1.0416,2019
exp-quantico-data-center,-29.903617117471224,-50.806773661063005,31,1.0462,2019
exp-quantico-data-center,-29.9757988014967,-50.817506782206806,31,1.0586,2019
exp-quantico-data-center,-30.043108663113006,-50.84946986574306,31,1.0606,2019
exp-quantico-data-center,-30.10094546701921,-50.900518129161924,31,0.999,2019
exp-quantico-data-center,-30.145348163464096,-50.96718530642681,31,1.0336,2019
exp-quantico-data-center,-30.173271096178453,-51.04491632102537,31,1.0013,2019
exp-quantico-data-center,-30.182796897834805,-51.1283808,31,0.659,2019
exp-quantico-data-center,-30.173271096178453,-51.211845278974636,31,0.8287,2019
exp-quantico-data-center,-30.145348163464096,-51.28957629357319,31,1.5746,2019
exp-quantico-data-center,-30.10094546701921,-51.35624347083808,31,0.8996,2019
exp-quantico-data-center,-30.043108663113006,-51.407291734256944,31,1.5053,2019
exp-quantico-data-center,-29.9757988014967,-51.4392548177932,31,1.1789,2019
exp-quantico-data-center,-29.903617117471224,-51.449987938937,31,1.1949,2019
exp-quantico-data-center,-29.83148769325191,-51.4388048280494,31,0.9635,2019
exp-quantico-data-center,-29.764320609064423,-51.406512323546565,31,1.0454,2019
exp-quantico-data-center,-29.706678845079413,-51.35534347602021,31,0.9854,2019
exp-quantico-data-center,-29.662471191242027,-51.28879686753231,31,0.8323,2019
exp-quantico-data-center,-29.634691041329095,-51.21139527390028,31,0.6735,2019
exp-quantico-data-center,-29.589244637928445,-51.1283808,35,0.6538,2019
exp-quantico-data-center,-29.631291193985533,-50.947322105326805,35,0.7209,2019
