campus_id,pais,lat,lon,n_predios,nome,operadora,municipio,uf,ano_operacional,fonte,origem_data,no_estudo_atual,tem_data,pct_veg_densa,pct_veg_rala,pct_solo_exposto,pct_construida,pct_agua,lst_campus,lst_referencia,anomalia_termica_c,frac_built_inicio,greenfield
br-0011,BR,-27.1076999,-48.9186753,1,Armazem DC Brusque,Armazém Cloud,Brusque,,,datacentermap,,False,False,25.16340312987586,0.5795538639261968,0.0,72.78360116945353,1.4734418367444255,30.77337630443904,26.372137162232963,4.401239142206077,,
br-0012,BR,-26.2392368,-48.88348435,2,Armazem DC Joinville,Armazém Cloud,Joinville,,,datacentermap+osm,,False,False,48.59952273995433,12.161560609820976,1.7068745911884973,37.5320420590362,0.0,31.47579308292012,28.774673036697806,2.7011200462223144,,
br-0013,BR,-23.6756459307653,-46.70346926575303,2,ASAP SP1,ASAP Telecom,São Paulo,SP,2022.0,datacentermap,declarada_datacentermap,False,True,3.148997519384463,3.734384457657,0.06056363898114087,86.12353804789977,6.93251633607763,32.39100294779161,30.59582392451601,1.795179023275601,,
br-0014,BR,-22.848037,-47.153369,1,Ascenty - Campinas CPS1,Ascenty Data Centers,Campinas,,,datacentermap,,False,False,7.045895581554871,4.361628164298711,0.1421876098135007,88.45028864433291,0.0,34.45937549499127,32.93538368100849,1.5239918139827822,,
br-0015,BR,-23.1922104,-46.97360015,2,Ascenty - Jundiai JDI1,Ascenty Data Centers,Jundiaí,Jundiaí,2014.0,datacentermap,declarada_datacentermap,True,True,23.57266548749266,14.453112190894101,0.20298169190419607,61.72692021804484,0.044320411664205396,31.119555973028355,28.352753598533756,2.766802374494599,,
br-0016,BR,-23.489837789734967,-46.77519074013178,16,Ascenty Sao Paulo Capital Campus,Ascenty Data Centers,Osasco,,2017.0,datacentermap+osm,declarada_datacentermap,True,True,8.326652952135014,1.8108707972270954,0.17393654766994382,89.68853970296796,0.0,32.93454795190871,30.456288709540942,2.47825924236777,,
br-0017,BR,-22.814140059036248,-47.21234334271967,6,Ascenty - Sumare SUM3,Ascenty Data Centers,Sumaré,,2017.0,datacentermap,declarada_datacentermap,True,True,29.792550357678795,19.90690416252962,3.271135816857294,45.796807760930086,1.2326019020041978,32.911595452008505,32.90942684928066,0.0021686027278420283,,
br-0018,BR,-23.07021418257807,-47.01238879815335,3,Ascenty - Vinhedo VIN2,Ascenty Data Centers,Vinhedo,,,datacentermap,,True,False,24.265884401757074,52.39206010704108,1.9637032669472045,19.82193298358107,1.5564192406735693,30.778643500799888,30.142274415940232,0.6363690848596555,,
br-0019,BR,-19.942833,-44.011552,1,Sonda Ativas,Sonda S.A.,Belo Horizonte,MG,2011.0,datacentermap,declarada_datacentermap,False,True,1.2056600433276858,0.6633292830644966,0.6765181338996601,97.45449253970816,0.0,35.32337351042186,32.06365804561812,3.2597154648037403,,
br-0020,BR,-26.26412048317817,-48.85177190343191,1,Avato Joinville,Ávato,Joinville,,2012.0,datacentermap,declarada_datacentermap,False,True,16.056180404006486,0.903613947092208,1.1097150227585006,81.9160775682515,0.014413057891318758,36.039614519438196,29.698098945909848,6.341515573528348,,
br-0021,BR,-23.464507775455093,-46.85978844276293,9,B3 Data Center,"B3 S.A. – Brasil, Bolsa, Balcão",Santana de Parnaiba,,2006.0,datacentermap+osm,declarada_datacentermap,True,True,32.5192546118447,0.9806825994922799,0.0,66.50006278866302,0.0,28.518157871235896,28.466571046641793,0.051586824594103575,,
br-0022,BR,-27.00188405,-51.16753775,2,BRDrive Data Center,BRDrive,Videira,,2015.0,datacentermap,declarada_datacentermap,False,True,33.17899639960358,7.3361222104115855,0.0,53.53879119407906,5.9460901959057715,28.004938777502314,24.80267309241391,3.2022656850884026,,
br-0023,BR,-3.653321,-38.8251428,1,Pecém Data Center,Casa dos Ventos,São Gonçalo do Amarante,,2027.0,datacentermap,declarada_datacentermap,False,True,87.92002429468424,12.022233057879534,0.0,0.0,0.05774264743622652,34.05581908994686,35.30259723137233,-1.246778141425473,,
br-0024,BR,-20.8103857,-49.38575485,2,CDZNet Data Center,cdznet data center,Sao Jose do Rio Preto,SP,,datacentermap,,False,False,0.0,0.0,0.0,100.0,0.0,38.587114877023446,35.599351024594974,2.987763852428472,,
br-0025,BR,-19.9305832,-44.0614069,1,Century CEM-DC01,Century Telecom LTDA,Contagem,Minas Gerais,,datacentermap,,False,False,5.0498021459558595,0.29010613642027766,0.6720199623359757,93.98807175528789,0.0,35.019591025662,32.324526385883935,2.6950646397780673,,
br-0026,BR,-25.47028165,-49.3507966,2,Cirion CUR1,Cirion,Curitiba,Paraná,2025.0,datacentermap,declarada_datacentermap,False,True,23.433803627646533,5.474348260577185,0.005804088787080872,71.05992562344734,0.026118399541863922,28.12280853427236,25.491209032331856,2.631599501940503,,
br-0027,BR,-22.90726045218103,-43.20859016648712,6,Cirion RIO2,Cirion,Rio de Janeiro,,2001.0,datacentermap,declarada_datacentermap,False,True,0.0,0.23687629832015256,0.5892297920713795,99.17389390960848,0.0,34.63847851371692,27.88048616529436,6.757992348422558,,
br-0028,BR,-23.54195739494818,-46.70931247916715,1,Claro Data Center LAPA,Claro,São Paulo,,2012.0,datacentermap,declarada_datacentermap,False,True,0.5952759978500262,0.0,0.0,99.40472400214998,0.0,31.39275689089452,31.8270057520194,-0.43424886112487826,,
br-0029,BR,-3.0555021,-59.990213350000005,2,ClickIP Datacenters,ClickIP Datacenters,Manaus,AMAZONAS,,datacentermap+osm,,True,False,10.427312556291177,0.3691379291897155,0.04172863547362002,89.1618208790455,0.0,41.29800434697008,39.05897829382838,2.2390260531417,,
br-0030,BR,-22.77117479857385,-47.10460292143075,8,CloudHQ GRU Campus,CloudHQ,Paulínia,,,datacentermap+osm,,False,False,35.42883617218723,33.1198962465386,2.2003558563333483,29.00787031096282,0.24304141397798457,32.368402270174336,32.54181706940408,-0.17341479922974656,,
br-0031,BR,-23.60026564209321,-46.6882332139399,6,ADA Sao Paulo,Ada Infrastructure,Sao Paulo,,1990.0,datacentermap,declarada_datacentermap,False,True,0.0,1.2607178051727783,0.0,94.446361332073,4.292920862754222,31.779469509257897,31.892727894324942,-0.113258385067045,,
br-0032,BR,-24.94369305,-53.44573055,2,Constel Cascavel Centro,Constel Tecnologia,Cascavel,Parana,,datacentermap,,False,False,3.083935936775275,0.0641217458213996,0.0,96.85194231740333,0.0,32.5729638499656,29.97525063901434,2.5977132109512624,,
br-0033,BR,-28.9420155,-49.4979287,1,Contato Data Center,Contato Data Center,Araranguá,Santa Catarina,,datacentermap,,False,False,9.763079894085397,8.951500374129663,0.0,76.61154022613691,4.673879505648017,31.758408677483583,28.86012468717536,2.8982839903082223,,
br-0034,BR,-21.1852257,-47.8081915,1,Convex IDC Ribeirão Preto,Convex Internet Solutions,Ribeirao Preto,SP,,datacentermap,,False,False,0.05994451253827635,0.0,0.0,99.94005548746172,0.0,37.06329743506495,35.21669547462332,1.8466019604416317,,
