site_id,tipo,pareado_com,sensor,raio_km,ano_inicio,ano_fim,n_anos,pixels_validos_mascara,virou_construida,virou_construida_via_solo,vegetacao_para_construida,pct_virou_construida,pct_virou_construida_via_solo,pct_vegetacao_para_construida
ctrl-scala-sgigsm01-p01,controle,scala-sgigsm01,s2,0.5,2019,2025,7,7853,107,55,9,1.3625366102126575,0.7003692856233287,0.11460588310199923
ctrl-scala-sgigsm01-p01,controle,scala-sgigsm01,s2,1.0,2019,2025,7,31416,429,223,54,1.365546218487395,0.7098293862999745,0.17188693659281895
ctrl-scala-sgigsm01-p01,controle,scala-sgigsm01,s2,2.0,2019,2025,7,125640,2190,1176,280,1.7430754536771729,0.936007640878701,0.22285896211397643
ctrl-scala-sgigsm01-p01,controle,scala-sgigsm01,s2,5.0,2019,2025,7,785237,14131,7365,3411,1.7995840746169627,0.9379333882636707,0.4343911456031746
ctrl-scala-spoapa01-p01,controle,scala-spoapa01,s2,0.5,2020,2025,6,7910,310,114,7,3.9190897597977243,1.4412136536030342,0.08849557522123894
ctrl-scala-spoapa01-p01,controle,scala-spoapa01,s2,1.0,2020,2025,6,31673,1326,513,35,4.186531114829665,1.6196760647870425,0.1105042149464844
ctrl-scala-spoapa01-p01,controle,scala-spoapa01,s2,2.0,2020,2025,6,126650,4928,2148,197,3.8910382945124358,1.696012633241216,0.15554678247137782
ctrl-scala-spoapa01-p01,controle,scala-spoapa01,s2,5.0,2020,2025,6,791469,18168,9360,1942,2.2954784078719443,1.1826110687847533,0.2453665273055546
ctrl-scala-tambore-p01,controle,scala-tambore,landsat,0.5,2018,2024,7,873,2,0,2,0.2290950744558992,0.0,0.2290950744558992
ctrl-scala-tambore-p01,controle,scala-tambore,landsat,1.0,2018,2024,7,3493,32,0,32,0.9161179501860864,0.0,0.9161179501860864
ctrl-scala-tambore-p01,controle,scala-tambore,landsat,2.0,2018,2024,7,13966,96,8,91,0.6873836459974223,0.057281970499785194,0.6515824144350566
ctrl-scala-tambore-p01,controle,scala-tambore,landsat,5.0,2018,2024,7,87274,603,102,487,0.690927423975067,0.11687329559777253,0.5580126956481885
