site_id,tipo,pareado_com,municipio,uf,ano,lst_media_celsius,lst_mediana_celsius,lst_desvio_celsius,lst_n_cenas,fonte,colecao_gee,data_extracao
ascenty-jundiai,tratamento,ascenty-jundiai,Jundiaí,SP,2019,27.411,26.7587,4.1169,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-jundiai,tratamento,ascenty-jundiai,Jundiaí,SP,2020,28.4548,28.5597,3.7995,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-jundiai,tratamento,ascenty-jundiai,Jundiaí,SP,2021,27.4275,28.7828,3.8532,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-jundiai,tratamento,ascenty-jundiai,Jundiaí,SP,2022,26.275,26.5307,3.2117,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,Caucaia,CE,2013,32.1975,32.4975,2.957,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,Caucaia,CE,2014,31.9927,32.5397,3.1141,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,Caucaia,CE,2015,30.7778,30.4995,2.9156,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,Caucaia,CE,2016,31.089,31.1018,3.1679,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-maracanau-p03,controle,ascenty-maracanau,Caucaia,CE,2017,30.7155,30.137,2.8631,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-maracanau,tratamento,ascenty-maracanau,Maracanaú,CE,2013,33.9145,34.2224,2.9623,41,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-maracanau,tratamento,ascenty-maracanau,Maracanaú,CE,2014,33.6985,33.9493,2.9283,41,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-maracanau,tratamento,ascenty-maracanau,Maracanaú,CE,2015,32.8113,32.3693,3.2405,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-maracanau,tratamento,ascenty-maracanau,Maracanaú,CE,2016,33.8657,34.3801,2.9729,38,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-maracanau,tratamento,ascenty-maracanau,Maracanaú,CE,2017,32.4851,32.5979,3.6212,41,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,2017,27.546,28.3787,4.375,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,2018,27.6992,27.7362,4.003,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,2019,28.0512,28.9493,4.8519,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,2020,28.0501,28.5287,4.4103,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,2021,27.4981,28.776,4.7525,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,2022,26.9143,27.0285,4.0489,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-osasco-p01,controle,ascenty-osasco,Itapevi,SP,2023,27.1763,28.3366,4.2159,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-osasco,tratamento,ascenty-osasco,Osasco,SP,2017,28.767,30.6044,4.7108,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-osasco,tratamento,ascenty-osasco,Osasco,SP,2018,28.6264,28.561,4.4855,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-osasco,tratamento,ascenty-osasco,Osasco,SP,2019,29.4147,29.4162,4.8155,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-osasco,tratamento,ascenty-osasco,Osasco,SP,2020,29.1138,29.9569,5.2109,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-osasco,tratamento,ascenty-osasco,Osasco,SP,2021,28.621,29.8707,5.0102,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-osasco,tratamento,ascenty-osasco,Osasco,SP,2022,27.718,28.192,4.5382,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-osasco,tratamento,ascenty-osasco,Osasco,SP,2023,28.3784,30.1986,4.7874,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,2016,30.2664,31.7718,4.3087,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,2017,30.139,31.1196,4.7175,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,2018,29.8409,29.6082,4.1318,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,2019,30.7465,31.1615,4.7045,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,2020,31.0981,31.377,4.7286,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,2021,31.2842,32.3258,4.9956,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,2022,29.2722,30.0177,4.092,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-paulinia,tratamento,ascenty-paulinia,Paulínia,SP,2016,31.3377,31.8753,4.3613,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-paulinia,tratamento,ascenty-paulinia,Paulínia,SP,2017,31.0803,31.4853,4.6313,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-paulinia,tratamento,ascenty-paulinia,Paulínia,SP,2018,31.4341,31.8135,3.6826,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-paulinia,tratamento,ascenty-paulinia,Paulínia,SP,2019,31.6709,31.668,4.8314,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-paulinia,tratamento,ascenty-paulinia,Paulínia,SP,2020,32.2728,32.3168,4.6649,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-paulinia,tratamento,ascenty-paulinia,Paulínia,SP,2021,32.183,32.6539,4.7774,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-paulinia,tratamento,ascenty-paulinia,Paulínia,SP,2022,30.3678,31.1206,3.5707,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-sumare-p01,controle,ascenty-sumare,Indaiatuba,SP,2014,31.1446,31.9908,4.3649,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-sumare-p01,controle,ascenty-sumare,Indaiatuba,SP,2015,29.5255,29.7543,4.218,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-sumare-p01,controle,ascenty-sumare,Indaiatuba,SP,2016,29.803,31.3076,4.0322,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-sumare-p01,controle,ascenty-sumare,Indaiatuba,SP,2017,29.8685,30.6189,4.276,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-sumare-p01,controle,ascenty-sumare,Indaiatuba,SP,2018,29.5167,30.1395,4.0427,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-sumare-p01,controle,ascenty-sumare,Indaiatuba,SP,2019,30.0482,30.4382,4.6497,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-sumare-p01,controle,ascenty-sumare,Indaiatuba,SP,2020,30.9061,30.946,4.304,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-sumare,tratamento,ascenty-sumare,Sumaré,SP,2014,32.6662,33.2724,4.8508,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-sumare,tratamento,ascenty-sumare,Sumaré,SP,2015,30.8186,30.8618,4.2417,42,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-sumare,tratamento,ascenty-sumare,Sumaré,SP,2016,31.1843,32.539,4.292,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-sumare,tratamento,ascenty-sumare,Sumaré,SP,2017,31.1194,31.6691,4.3785,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-sumare,tratamento,ascenty-sumare,Sumaré,SP,2018,31.1359,31.5264,3.9171,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-sumare,tratamento,ascenty-sumare,Sumaré,SP,2019,31.5931,32.0841,4.8346,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-sumare,tratamento,ascenty-sumare,Sumaré,SP,2020,32.199,32.7343,4.3973,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-vinhedo-p02,controle,ascenty-vinhedo,Campinas,SP,2016,29.9206,31.2242,3.954,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-vinhedo-p02,controle,ascenty-vinhedo,Campinas,SP,2017,29.3745,30.4043,4.2029,45,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-vinhedo-p02,controle,ascenty-vinhedo,Campinas,SP,2018,29.4419,30.2542,3.3588,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-vinhedo-p02,controle,ascenty-vinhedo,Campinas,SP,2019,30.2983,30.4617,4.3979,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-vinhedo-p02,controle,ascenty-vinhedo,Campinas,SP,2020,30.843,30.3861,4.4164,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-vinhedo-p02,controle,ascenty-vinhedo,Campinas,SP,2021,30.7956,30.9531,4.227,46,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ctrl-ascenty-vinhedo-p02,controle,ascenty-vinhedo,Campinas,SP,2022,28.9387,29.1682,3.2068,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-vinhedo,tratamento,ascenty-vinhedo,Vinhedo,SP,2016,28.2856,29.4042,3.7533,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-vinhedo,tratamento,ascenty-vinhedo,Vinhedo,SP,2017,28.2084,28.7864,4.0302,44,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
ascenty-vinhedo,tratamento,ascenty-vinhedo,Vinhedo,SP,2018,28.305,28.6076,3.3171,43,MODIS/Terra,MODIS/061/MOD11A2,2026-09-06
