pareado_com,site_id,tipo,zona,raio_int_km,raio_ext_km,area_zona_ha,metodo_footprint,pixels_validos_mascara,virou_construida,virou_construida_via_solo,vegetacao_para_construida,n_pixels_footprint,pct_ja_construida,pct_virou_construida_fp,pct_construida_no_fim,pct_virou_construida,pct_virou_construida_via_solo,pct_vegetacao_para_construida
ascenty-sumare,ctrl-ascenty-sumare-p01,controle,1-2km,1.0,2.0,942.48,,10495,403,83,387,,,,,3.8399237732253453,0.7908527870414483,3.6874702239161508
ascenty-vinhedo,ascenty-vinhedo,tratamento,footprint,0.0,0.0,1.634,osm_landuse_industrial,31,7,1,6,31.0,35.48,22.58,54.84,22.580645161290324,3.225806451612903,19.35483870967742
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,0.0,0.5,78.54,,764,35,20,31,,,,,4.5811518324607325,2.6178010471204187,4.057591623036649
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,0.5,1.0,235.62,,2626,67,20,59,,,,,2.5514089870525516,0.7616146230007617,2.2467631378522466
ascenty-vinhedo,ascenty-vinhedo,tratamento,1-2km,1.0,2.0,942.48,,10453,74,27,32,,,,,0.7079307375872955,0.2582990529034727,0.30613221084856024
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,0.0,0.5,78.54,,874,15,1,12,,,,,1.7162471395881007,0.11441647597254005,1.3729977116704806
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,0.5,1.0,235.62,,2615,59,0,59,,,,,2.2562141491395793,0.0,2.2562141491395793
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,1-2km,1.0,2.0,942.48,,10483,114,6,104,,,,,1.0874749594581703,0.057235524182008966,0.9920824191548221
clickip-manaus,clickip-manaus,tratamento,footprint,0.0,0.0,0.1459,osm_data_center_explicito,20,15,14,15,20.0,0.0,75.0,75.0,75.0,70.0,75.0
clickip-manaus,clickip-manaus,tratamento,0-0.5km,0.0,0.5,78.54,,8410,450,185,195,,,,,5.35077288941736,2.1997621878715816,2.318668252080856
clickip-manaus,clickip-manaus,tratamento,0.5-1km,0.5,1.0,235.62,,25242,924,364,454,,,,,3.660565723793677,1.4420410427066002,1.7985896521670233
clickip-manaus,clickip-manaus,tratamento,1-2km,1.0,2.0,942.48,,100967,3486,1157,1823,,,,,3.452613230065269,1.1459189636217775,1.805540424098963
clickip-manaus,ctrl-clickip-manaus-p01,controle,0-0.5km,0.0,0.5,78.54,,8448,1,0,0,,,,,0.011837121212121212,0.0,0.0
clickip-manaus,ctrl-clickip-manaus-p01,controle,0.5-1km,0.5,1.0,235.62,,25294,58,7,45,,,,,0.22930339210880052,0.027674547323475924,0.17790780422234523
clickip-manaus,ctrl-clickip-manaus-p01,controle,1-2km,1.0,2.0,942.48,,101161,366,50,332,,,,,0.3617995077154239,0.049426162256205455,0.3281897173812042
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,footprint,0.0,0.0,9.8868,osm_data_center_explicito,138,1,0,1,138.0,0.0,0.72,1.45,0.7246376811594203,0.0,0.7246376811594203
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0-0.5km,0.0,0.5,78.54,,830,19,5,17,,,,,2.289156626506024,0.6024096385542169,2.0481927710843375
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0.5-1km,0.5,1.0,235.62,,2567,61,8,57,,,,,2.3763147643163225,0.3116478379431243,2.2204908453447603
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,1-2km,1.0,2.0,942.48,,10467,183,3,179,,,,,1.7483519633132703,0.028661507595299514,1.710136619852871
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0-0.5km,0.0,0.5,78.54,,876,10,0,10,,,,,1.1415525114155252,0.0,1.1415525114155252
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0.5-1km,0.5,1.0,235.62,,2608,20,0,20,,,,,0.7668711656441718,0.0,0.7668711656441718
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,1-2km,1.0,2.0,942.48,,10432,398,299,315,,,,,3.8151840490797544,2.866180981595092,3.019555214723926
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,footprint,0.0,0.0,0.1909,osm_edificacao_mais_proxima,6,0,0,0,6.0,50.0,0.0,33.33,0.0,0.0,0.0
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0-0.5km,0.0,0.5,78.54,,902,19,2,17,,,,,2.106430155210643,0.22172949002217296,1.8847006651884701
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0.5-1km,0.5,1.0,235.62,,2512,51,1,48,,,,,2.0302547770700636,0.03980891719745223,1.910828025477707
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,1-2km,1.0,2.0,942.48,,7761,204,7,194,,,,,2.6285272516428297,0.09019456255637161,2.4996778765622985
hostdime-joao-pessoa,ctrl-hostdime-joao-pessoa-p01,controle,0-0.5km,0.0,0.5,78.54,,901,12,1,11,,,,,1.3318534961154274,0.11098779134295228,1.2208657047724751
hostdime-joao-pessoa,ctrl-hostdime-joao-pessoa-p01,controle,0.5-1km,0.5,1.0,235.62,,2698,54,0,52,,,,,2.001482579688658,0.0,1.927353595255745
