campus,n_ponta,conf_min,pct_tratamento,px_tratamento,pct_controle,px_controle,excesso_pp
exp-asap-sp1,2,85,0.0,1062,0.0,1878,0.0
exp-asap-sp1,2,95,0.0,456,0.0,1145,0.0
exp-asap-sp1,3,0,0.3063960168517809,2611,0.34324942791762014,2622,-0.036853411065839226
exp-asap-sp1,3,70,0.0,1574,0.0,2173,0.0
exp-asap-sp1,3,85,0.0,971,0.0,1797,0.0
exp-asap-sp1,3,95,0.0,385,0.0,970,0.0
exp-idx-data-centers---it-services,1,0,5.763358778625954,2620,7.001522070015221,2628,-1.2381632913892666
exp-idx-data-centers---it-services,1,70,1.094890510948905,1370,0.7936507936507936,1008,0.3012397172981115
exp-idx-data-centers---it-services,1,85,0.41841004184100417,478,0.0,307,0.41841004184100417
exp-idx-data-centers---it-services,1,95,0.0,47,0.0,65,0.0
exp-idx-data-centers---it-services,2,0,1.297709923664122,2620,1.1796042617960427,2628,0.11810566186807936
exp-idx-data-centers---it-services,2,70,0.0970873786407767,1030,0.0,722,0.0970873786407767
exp-idx-data-centers---it-services,2,85,0.0,271,0.0,183,0.0
exp-idx-data-centers---it-services,2,95,0.0,9,0.0,34,0.0
exp-idx-data-centers---it-services,3,0,0.6106870229007634,2620,0.380517503805175,2628,0.23016951909558836
exp-idx-data-centers---it-services,3,70,0.0,866,0.0,603,0.0
exp-idx-data-centers---it-services,3,85,0.0,197,0.0,133,0.0
exp-idx-data-centers---it-services,3,95,0.0,4,0.0,23,0.0
exp-to-host-data-centers,1,0,19.90942565708723,23627,0.9653653992717419,23618,18.944060257815487
exp-to-host-data-centers,1,70,10.1010101010101,2673,0.0,16603,10.1010101010101
exp-to-host-data-centers,1,85,4.444444444444445,225,0.0,12314,4.444444444444445
exp-to-host-data-centers,1,95,0.0,8,0.0,11135,0.0
exp-to-host-data-centers,2,0,8.964320480805858,23627,0.292150055042764,23618,8.672170425763094
exp-to-host-data-centers,2,70,4.34412265758092,1174,0.0,14988,4.34412265758092
exp-to-host-data-centers,2,85,0.0,76,0.0,11776,0.0
exp-to-host-data-centers,2,95,0.0,4,0.0,11049,0.0
exp-to-host-data-centers,3,0,3.847293350827443,23627,0.11008552798712846,23618,3.7372078228403147
exp-to-host-data-centers,3,70,1.8300653594771241,765,0.0,14332,1.8300653594771241
exp-to-host-data-centers,3,85,0.0,53,0.0,11618,0.0
exp-to-host-data-centers,3,95,0.0,3,0.0,11001,0.0
exp-netwise-empresas,1,0,12.72711835625743,23556,0.21245857057873715,23534,12.514659785678692
exp-netwise-empresas,1,70,2.4500475737392957,4204,0.007554011179936546,13238,2.4424935625593593
exp-netwise-empresas,1,85,0.2770083102493075,722,0.0,5490,0.2770083102493075
exp-netwise-empresas,1,95,0.0,24,0.0,138,0.0
exp-netwise-empresas,2,0,3.5235184241806756,23556,0.008498342823149485,23534,3.5150200813575263
exp-netwise-empresas,2,70,0.3184713375796178,2512,0.0,7416,0.3184713375796178
exp-netwise-empresas,2,85,0.0,309,0.0,1076,0.0
exp-netwise-empresas,2,95,0.0,4,0.0,25,0.0
exp-netwise-empresas,3,0,1.1801664119544915,23556,0.0,23534,1.1801664119544915
exp-netwise-empresas,3,70,0.05162622612287042,1937,0.0,6101,0.05162622612287042
exp-netwise-empresas,3,85,0.0,218,0.0,660,0.0
exp-netwise-empresas,3,95,0.0,2,0.0,21,0.0
