site_id,municipio,uf,codigo_ibge,ano,populacao,tipo_estimativa,fonte,data_extracao
clickip-manaus,Manaus,AM,1302603,2022,2063689,censo,"IBGE - Censo Demografico 2022, SIDRA tabela 9514 (Populacao residente)",2026-09-03
clickip-manaus,Manaus,AM,1302603,2024,2279686,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
clickip-manaus,Manaus,AM,1302603,2025,2303732,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2016,129261,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2017,131887,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2018,136517,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2019,139447,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2020,142301,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2021,145073,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2022,154105,censo,"IBGE - Censo Demografico 2022, SIDRA tabela 9514 (Populacao residente)",2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2024,162341,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
equinix-santana-parnaiba,Santana de Parnaíba,SP,3547304,2025,163787,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
everest-goiania,Goiânia,GO,5208707,2016,1448639,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
everest-goiania,Goiânia,GO,5208707,2017,1466105,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
everest-goiania,Goiânia,GO,5208707,2018,1495705,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
everest-goiania,Goiânia,GO,5208707,2019,1516113,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
everest-goiania,Goiânia,GO,5208707,2020,1536097,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
everest-goiania,Goiânia,GO,5208707,2021,1555626,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
everest-goiania,Goiânia,GO,5208707,2022,1437366,censo,"IBGE - Censo Demografico 2022, SIDRA tabela 9514 (Populacao residente)",2026-09-03
everest-goiania,Goiânia,GO,5208707,2024,1494599,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
everest-goiania,Goiânia,GO,5208707,2025,1503256,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2507507,2016,801718,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2507507,2017,811598,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2507507,2018,800323,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2507507,2019,809015,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2507507,2020,817511,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2507507,2021,825796,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2507507,2022,833932,censo,"IBGE - Censo Demografico 2022, SIDRA tabela 9514 (Populacao residente)",2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2507507,2024,888679,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
hostdime-joao-pessoa,João Pessoa,PB,2507507,2025,897633,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
odata-hortolandia,Hortolândia,SP,3519071,2016,219039,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
odata-hortolandia,Hortolândia,SP,3519071,2017,222186,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
odata-hortolandia,Hortolândia,SP,3519071,2018,227353,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
odata-hortolandia,Hortolândia,SP,3519071,2019,230851,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
odata-hortolandia,Hortolândia,SP,3519071,2020,234259,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
odata-hortolandia,Hortolândia,SP,3519071,2021,237570,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
odata-hortolandia,Hortolândia,SP,3519071,2022,236641,censo,"IBGE - Censo Demografico 2022, SIDRA tabela 9514 (Populacao residente)",2026-09-03
odata-hortolandia,Hortolândia,SP,3519071,2024,247331,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
odata-hortolandia,Hortolândia,SP,3519071,2025,248842,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-sgigsm01,São João de Meriti,RJ,3305109,2016,460541,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-sgigsm01,São João de Meriti,RJ,3305109,2017,460461,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-sgigsm01,São João de Meriti,RJ,3305109,2018,471888,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-sgigsm01,São João de Meriti,RJ,3305109,2019,472406,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-sgigsm01,São João de Meriti,RJ,3305109,2020,472906,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-sgigsm01,São João de Meriti,RJ,3305109,2021,473385,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-sgigsm01,São João de Meriti,RJ,3305109,2022,440962,censo,"IBGE - Censo Demografico 2022, SIDRA tabela 9514 (Populacao residente)",2026-09-03
scala-sgigsm01,São João de Meriti,RJ,3305109,2024,466536,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-sgigsm01,São João de Meriti,RJ,3305109,2025,466503,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-spoapa01,Porto Alegre,RS,4314902,2016,1481019,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-spoapa01,Porto Alegre,RS,4314902,2017,1484941,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-spoapa01,Porto Alegre,RS,4314902,2018,1479101,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-spoapa01,Porto Alegre,RS,4314902,2019,1483771,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
scala-spoapa01,Porto Alegre,RS,4314902,2020,1488252,estimativa_intercensitaria,IBGE - SIDRA tabela 6579 (Populacao residente estimada),2026-09-03
