site_id,municipio,uf,codigo_ibge,ano,faixa_etaria_base,nivel_instrucao,populacao,percentual_do_total,fonte,data_extracao,origem_lista
ascenty-maracanau,Maracanaú,CE,2307650,2022,18 anos ou mais,Fundamental completo e médio incompleto,29366.0,16.88,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-maracanau,Maracanaú,CE,2307650,2022,18 anos ou mais,Médio completo e superior incompleto,79888.0,45.93,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-maracanau,Maracanaú,CE,2307650,2022,18 anos ou mais,Sem instrução e fundamental incompleto,50592.0,29.08,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-maracanau,Maracanaú,CE,2307650,2022,18 anos ou mais,Superior completo,14100.0,8.11,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-maracanau,Maracanaú,CE,2307650,2022,18 anos ou mais,Total,173946.0,100.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-osasco,Osasco,SP,3534401,2010,10 anos ou mais,Fundamental completo e médio incompleto,113869.0,19.83,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-osasco,Osasco,SP,3534401,2010,10 anos ou mais,Médio completo e superior incompleto,156201.0,27.21,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-osasco,Osasco,SP,3534401,2010,10 anos ou mais,Sem instrução e fundamental incompleto,231943.0,40.4,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-osasco,Osasco,SP,3534401,2010,10 anos ou mais,Superior completo,63855.0,11.12,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-osasco,Osasco,SP,3534401,2010,10 anos ou mais,Total,574104.0,100.0,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-osasco,Osasco,SP,3534401,2022,18 anos ou mais,Fundamental completo e médio incompleto,87883.0,15.58,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-osasco,Osasco,SP,3534401,2022,18 anos ou mais,Médio completo e superior incompleto,226349.0,40.13,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-osasco,Osasco,SP,3534401,2022,18 anos ou mais,Sem instrução e fundamental incompleto,120475.0,21.36,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-osasco,Osasco,SP,3534401,2022,18 anos ou mais,Superior completo,129397.0,22.94,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-osasco,Osasco,SP,3534401,2022,18 anos ou mais,Total,564103.0,100.0,"IBGE - Censo Demografico 2022, SIDRA tabela 10061 (Pessoas de 18 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-paulinia,Paulínia,SP,3536505,2010,10 anos ou mais,Fundamental completo e médio incompleto,11999.0,17.13,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-paulinia,Paulínia,SP,3536505,2010,10 anos ou mais,Médio completo e superior incompleto,21852.0,31.2,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-paulinia,Paulínia,SP,3536505,2010,10 anos ou mais,Sem instrução e fundamental incompleto,26746.0,38.18,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
ascenty-paulinia,Paulínia,SP,3536505,2010,10 anos ou mais,Superior completo,9122.0,13.02,"IBGE - Censo Demografico 2010, SIDRA tabela 3540 (Pessoas de 10 anos ou mais de idade, por nivel de instrucao)",2026-09-03,sites_validados
