site_id,municipio,uf,eixo,rotulo,efeito_liquido,unidade,score_0_100,selo_do_eixo,tipo_sitio,qualidade_par,ano_inicio_obra,sensor
ascenty-osasco,Osasco,SP,temperatura_0_500m,"Aquecimento de superfície (LST Landsat 30 m), anel 0–500 m",0.606,°C,58.3,nulo_amostra_pequena,brownfield,ruim,2020,landsat
ascenty-paulinia,Paulínia,SP,temperatura_0_500m,"Aquecimento de superfície (LST Landsat 30 m), anel 0–500 m",1.125,°C,83.3,nulo_amostra_pequena,brownfield,bom,2019,landsat
ascenty-sumare,Sumaré,SP,temperatura_0_500m,"Aquecimento de superfície (LST Landsat 30 m), anel 0–500 m",0.302,°C,41.7,nulo_amostra_pequena,brownfield,ruim,2017,landsat
ascenty-vinhedo,Vinhedo,SP,temperatura_0_500m,"Aquecimento de superfície (LST Landsat 30 m), anel 0–500 m",-0.804,°C,25.0,nulo_amostra_pequena,greenfield,aceitavel,2019,landsat
clickip-manaus,Manaus,AM,temperatura_0_500m,"Aquecimento de superfície (LST Landsat 30 m), anel 0–500 m",,°C,,nulo_amostra_pequena,greenfield,ruim,2023,s2
equinix-santana-parnaiba,Santana de Parnaíba,SP,temperatura_0_500m,"Aquecimento de superfície (LST Landsat 30 m), anel 0–500 m",1.825,°C,100.0,nulo_amostra_pequena,greenfield,ruim,2020,landsat
everest-goiania,Goiânia,GO,temperatura_0_500m,"Aquecimento de superfície (LST Landsat 30 m), anel 0–500 m",-0.732,°C,33.3,nulo_amostra_pequena,,ruim,2021,landsat
hostdime-joao-pessoa,João Pessoa,PB,temperatura_0_500m,"Aquecimento de superfície (LST Landsat 30 m), anel 0–500 m",1.081,°C,75.0,nulo_amostra_pequena,brownfield,ruim,2017,landsat
scala-sgigsm01,São João de Meriti,RJ,temperatura_0_500m,"Aquecimento de superfície (LST Landsat 30 m), anel 0–500 m",,°C,,nulo_amostra_pequena,brownfield,ruim,2022,s2
scala-spoapa01,Porto Alegre,RS,temperatura_0_500m,"Aquecimento de superfície (LST Landsat 30 m), anel 0–500 m",,°C,,nulo_amostra_pequena,greenfield,ruim,2023,s2
scala-tambore,Barueri,SP,temperatura_0_500m,"Aquecimento de superfície (LST Landsat 30 m), anel 0–500 m",0.981,°C,66.7,nulo_amostra_pequena,brownfield,ruim,2021,landsat
