pareado_com,site_id,tipo,zona,sensor,ano,t_relativo,footprint_excluido,pixels_validos,pct_construida
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,2020,2,True,693,62.9149
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,2021,3,True,693,66.811
ascenty-hortolandia,ascenty-hortolandia,tratamento,0-0.5km,landsat,2022,4,True,693,70.2742
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,2015,-3,True,2618,72.4981
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,2016,-2,True,2618,74.026
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,2017,-1,True,2618,74.3697
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,2018,0,True,2618,74.3697
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,2019,1,True,2618,72.0779
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,2020,2,True,2618,71.9251
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,2021,3,True,2618,75.6684
ascenty-hortolandia,ascenty-hortolandia,tratamento,0.5-1km,landsat,2022,4,True,2618,75.0191
ascenty-hortolandia,ascenty-hortolandia,tratamento,1-2km,landsat,2015,-3,True,10479,60.5783
ascenty-hortolandia,ascenty-hortolandia,tratamento,1-2km,landsat,2016,-2,True,10479,62.3914
ascenty-hortolandia,ascenty-hortolandia,tratamento,1-2km,landsat,2017,-1,True,10479,62.735
ascenty-hortolandia,ascenty-hortolandia,tratamento,1-2km,landsat,2018,0,True,10479,62.4964
ascenty-hortolandia,ascenty-hortolandia,tratamento,1-2km,landsat,2019,1,True,10479,59.8626
ascenty-hortolandia,ascenty-hortolandia,tratamento,1-2km,landsat,2020,2,True,10479,62.6014
ascenty-hortolandia,ascenty-hortolandia,tratamento,1-2km,landsat,2021,3,True,10479,67.0102
ascenty-hortolandia,ascenty-hortolandia,tratamento,1-2km,landsat,2022,4,True,10479,65.2066
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,2016,-3,False,875,18.9714
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,2017,-2,False,875,24.2286
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,2018,-1,False,875,31.4286
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,2019,0,False,875,32.9143
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0-0.5km,landsat,2020,1,False,875,27.7714
