site_id,site_id_controle,posicao_final_rf,lat,lon,dist_ao_tratamento_km,l1_mapbiomas,l1_rf,qualidade_rf,municipio,uf,metodo_municipio,escolhido
everest-goiania,ctrl-everest-goiania-p04,4,-16.36621,-49.23719,36.0,1.568497,1.328316,ruim,Nerópolis,GO,municipio_vizinho_microrregiao_ibge,False
everest-goiania,ctrl-everest-goiania-p05,5,-16.625879,-48.983701,28.0,1.579967,1.358618,ruim,Bonfinópolis,GO,municipio_vizinho_microrregiao_ibge,False
hostdime-joao-pessoa,ctrl-hostdime-joao-pessoa-p01,1,-7.257127,-34.819403,16.0,0.832959,0.655163,ruim,Conde,PB,municipio_vizinho_microrregiao_ibge,True
hostdime-joao-pessoa,ctrl-hostdime-joao-pessoa-p04,2,-6.977633,-34.894378,16.0,1.077188,0.753035,ruim,Santa Rita,PB,municipio_vizinho_microrregiao_ibge,False
hostdime-joao-pessoa,ctrl-hostdime-joao-pessoa-p03,3,-7.292063,-34.810025,20.0,0.905014,0.760091,ruim,Conde,PB,municipio_vizinho_microrregiao_ibge,False
hostdime-joao-pessoa,ctrl-hostdime-joao-pessoa-p02,4,-7.326998,-34.800646,24.0,0.884863,0.857016,ruim,Conde,PB,municipio_vizinho_microrregiao_ibge,False
hostdime-joao-pessoa,ctrl-hostdime-joao-pessoa-p05,5,-6.900366,-34.856902,24.0,1.080314,1.052406,ruim,Lucena,PB,municipio_vizinho_microrregiao_ibge,False
scala-sgigsm01,ctrl-scala-sgigsm01-p01,1,-22.872066,-43.48887,16.0,0.917307,0.862406,ruim,Rio de Janeiro,RJ,municipio_vizinho_microrregiao_ibge,True
scala-sgigsm01,ctrl-scala-sgigsm01-p03,2,-22.944134,-43.62404,32.0,1.009881,0.869063,ruim,Rio de Janeiro,RJ,municipio_vizinho_microrregiao_ibge,False
scala-sgigsm01,ctrl-scala-sgigsm01-p02,3,-22.939435,-43.394216,16.0,0.945008,0.986245,ruim,Rio de Janeiro,RJ,municipio_vizinho_microrregiao_ibge,False
scala-sgigsm01,ctrl-scala-sgigsm01-p05,4,-22.892924,-43.73041,40.0,1.341865,1.138519,ruim,Rio de Janeiro,RJ,municipio_vizinho_microrregiao_ibge,False
scala-sgigsm01,ctrl-scala-sgigsm01-p04,5,-22.799807,-43.198008,16.0,1.167666,1.376397,ruim,Rio de Janeiro,RJ,municipio_vizinho_microrregiao_ibge,False
scala-spoapa01,ctrl-scala-spoapa01-p01,1,-29.828483,-51.144592,20.0,0.628893,0.489003,ruim,Sapucaia do Sul,RS,municipio_vizinho_microrregiao_ibge,True
scala-spoapa01,ctrl-scala-spoapa01-p04,2,-30.074857,-51.341867,16.0,1.325315,0.631487,ruim,Guaíba,RS,municipio_vizinho_microrregiao_ibge,False
scala-spoapa01,ctrl-scala-spoapa01-p02,3,-29.912435,-51.018794,20.0,0.850929,0.644258,ruim,Gravataí,RS,municipio_vizinho_microrregiao_ibge,False
scala-spoapa01,ctrl-scala-spoapa01-p03,4,-30.183185,-51.198149,20.0,1.003443,0.689041,ruim,Porto Alegre,RS,mesmo_municipio,False
scala-spoapa01,ctrl-scala-spoapa01-p05,5,-30.142177,-51.155169,16.0,1.328849,0.966546,ruim,Porto Alegre,RS,mesmo_municipio,False
scala-tambore,ctrl-scala-tambore-p01,1,-23.404447,-46.982529,20.0,1.260057,1.06251,ruim,Pirapora do Bom Jesus,SP,municipio_vizinho_microrregiao_ibge,True
scala-tambore,ctrl-scala-tambore-p02,2,-23.386348,-47.016392,24.0,1.300298,1.102103,ruim,Pirapora do Bom Jesus,SP,municipio_vizinho_microrregiao_ibge,False
