site_id,tipo,pareado_com,municipio,uf,codigo_ibge,ano,populacao,populacao_tipo_estimativa,emprego_formal_total,pessoal_ocupado_total,numero_empresas,pib_mil_reais,municipio_compartilhado_com_par,data_extracao
ascenty-osasco,tratamento,ascenty-osasco,Osasco,SP,3534401,2022,728615.0,censo,191047.0,232878.0,38468.0,112145798.0,False,2026-09-06
ascenty-osasco,tratamento,ascenty-osasco,Osasco,SP,3534401,2023,,,209469.0,253872.0,40717.0,119404053.0,False,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,3501608,2016,231621.0,estimativa_intercensitaria,71436.0,86451.0,11142.0,10435437.0,False,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,3501608,2017,233868.0,estimativa_intercensitaria,71413.0,86444.0,11106.0,10984203.0,False,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,3501608,2018,237112.0,estimativa_intercensitaria,70836.0,86384.0,11301.0,11340521.0,False,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,3501608,2019,239597.0,estimativa_intercensitaria,71482.0,87617.0,11983.0,11861436.0,False,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,3501608,2020,242018.0,estimativa_intercensitaria,69998.0,86888.0,12458.0,11956361.0,False,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,3501608,2021,244370.0,estimativa_intercensitaria,74248.0,92027.0,13170.0,15217280.0,False,2026-09-06
ctrl-ascenty-paulinia-p02,controle,ascenty-paulinia,Americana,SP,3501608,2022,237240.0,censo,77171.0,102712.0,18384.0,16677591.0,False,2026-09-06
ascenty-paulinia,tratamento,ascenty-paulinia,Paulínia,SP,3536505,2016,100128.0,estimativa_intercensitaria,43167.0,47447.0,3481.0,36499593.0,False,2026-09-06
ascenty-paulinia,tratamento,ascenty-paulinia,Paulínia,SP,3536505,2017,102499.0,estimativa_intercensitaria,40120.0,44501.0,3585.0,35540436.0,False,2026-09-06
ascenty-paulinia,tratamento,ascenty-paulinia,Paulínia,SP,3536505,2018,106776.0,estimativa_intercensitaria,41249.0,45683.0,3573.0,32658835.0,False,2026-09-06
ascenty-paulinia,tratamento,ascenty-paulinia,Paulínia,SP,3536505,2019,109424.0,estimativa_intercensitaria,44576.0,49189.0,3932.0,37366101.0,False,2026-09-06
ascenty-paulinia,tratamento,ascenty-paulinia,Paulínia,SP,3536505,2020,112003.0,estimativa_intercensitaria,43098.0,48122.0,4253.0,39807062.0,False,2026-09-06
ascenty-paulinia,tratamento,ascenty-paulinia,Paulínia,SP,3536505,2021,114508.0,estimativa_intercensitaria,46086.0,51639.0,4758.0,52389437.0,False,2026-09-06
ascenty-paulinia,tratamento,ascenty-paulinia,Paulínia,SP,3536505,2022,110537.0,censo,50393.0,59074.0,6975.0,70496584.0,False,2026-09-06
ctrl-ascenty-sumare-p01,controle,ascenty-sumare,Indaiatuba,SP,3520509,2014,,,74383.0,86202.0,9330.0,11784749.0,False,2026-09-06
ctrl-ascenty-sumare-p01,controle,ascenty-sumare,Indaiatuba,SP,3520509,2015,,,72188.0,84334.0,9490.0,11634861.0,False,2026-09-06
ctrl-ascenty-sumare-p01,controle,ascenty-sumare,Indaiatuba,SP,3520509,2016,235367.0,estimativa_intercensitaria,71846.0,83571.0,9355.0,12282381.0,False,2026-09-06
ctrl-ascenty-sumare-p01,controle,ascenty-sumare,Indaiatuba,SP,3520509,2017,239602.0,estimativa_intercensitaria,72326.0,84423.0,9447.0,14024836.0,False,2026-09-06
ctrl-ascenty-sumare-p01,controle,ascenty-sumare,Indaiatuba,SP,3520509,2018,246908.0,estimativa_intercensitaria,74092.0,86388.0,9574.0,15595708.0,False,2026-09-06
