campus,site_id,tipo,zona,r_int,r_ext,pixels_validos,pct_virou_construida
ascenty-vinhedo,ascenty-vinhedo,tratamento,0-0.5km,0.0,0.5,764,4.5811518324607325
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,0.5,1.0,2626,2.5514089870525516
ascenty-vinhedo,ascenty-vinhedo,tratamento,1-2km,1.0,2.0,10453,0.7079307375872955
ascenty-vinhedo,ascenty-vinhedo,tratamento,2-3km,2.0,3.0,17463,1.6549275611292447
ascenty-vinhedo,ascenty-vinhedo,tratamento,3-5km,3.0,5.0,55834,2.0614679227710715
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0-0.5km,0.0,0.5,874,1.7162471395881007
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,0.5,1.0,2615,2.2562141491395793
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,1-2km,1.0,2.0,10483,1.0874749594581703
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,2-3km,2.0,3.0,17456,1.6899633363886344
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,3-5km,3.0,5.0,55696,1.4704826199367997
clickip-manaus,clickip-manaus,tratamento,0-0.5km,0.0,0.5,8410,5.35077288941736
clickip-manaus,clickip-manaus,tratamento,0.5-1km,0.5,1.0,25242,3.660565723793677
clickip-manaus,clickip-manaus,tratamento,1-2km,1.0,2.0,100967,3.452613230065269
clickip-manaus,clickip-manaus,tratamento,2-3km,2.0,3.0,168250,2.165230312035661
clickip-manaus,clickip-manaus,tratamento,3-5km,3.0,5.0,527725,2.1255388696764412
clickip-manaus,ctrl-clickip-manaus-p01,controle,0-0.5km,0.0,0.5,8448,0.011837121212121212
clickip-manaus,ctrl-clickip-manaus-p01,controle,0.5-1km,0.5,1.0,25294,0.22930339210880052
clickip-manaus,ctrl-clickip-manaus-p01,controle,1-2km,1.0,2.0,101161,0.3617995077154239
clickip-manaus,ctrl-clickip-manaus-p01,controle,2-3km,2.0,3.0,168694,0.2958018661007505
clickip-manaus,ctrl-clickip-manaus-p01,controle,3-5km,3.0,5.0,527561,0.172491901410453
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0-0.5km,0.0,0.5,830,2.289156626506024
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0.5-1km,0.5,1.0,2567,2.3763147643163225
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,1-2km,1.0,2.0,10467,1.7483519633132703
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,2-3km,2.0,3.0,17449,0.9341509542094103
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,3-5km,3.0,5.0,55838,1.9019305849063362
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0-0.5km,0.0,0.5,876,1.1415525114155252
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,0.5-1km,0.5,1.0,2608,0.7668711656441718
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,1-2km,1.0,2.0,10432,3.8151840490797544
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,2-3km,2.0,3.0,16868,2.792269385819303
equinix-santana-parnaiba,ctrl-equinix-santana-parnaiba-p01,controle,3-5km,3.0,5.0,54854,1.8139060050315383
everest-goiania,everest-goiania,tratamento,0-0.5km,0.0,0.5,876,0.7990867579908676
everest-goiania,everest-goiania,tratamento,0.5-1km,0.5,1.0,2633,1.139384732244588
everest-goiania,everest-goiania,tratamento,1-2km,1.0,2.0,10516,1.8067706352225181
everest-goiania,everest-goiania,tratamento,2-3km,2.0,3.0,17520,1.2271689497716896
everest-goiania,everest-goiania,tratamento,3-5km,3.0,5.0,56096,2.3976754135767258
everest-goiania,ctrl-everest-goiania-p01,controle,0-0.5km,0.0,0.5,876,0.45662100456621
everest-goiania,ctrl-everest-goiania-p01,controle,0.5-1km,0.5,1.0,2635,0.2656546489563567
everest-goiania,ctrl-everest-goiania-p01,controle,1-2km,1.0,2.0,10509,1.2275192691978305
everest-goiania,ctrl-everest-goiania-p01,controle,2-3km,2.0,3.0,17545,2.3083499572527786
everest-goiania,ctrl-everest-goiania-p01,controle,3-5km,3.0,5.0,56103,2.240521897224747
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0-0.5km,0.0,0.5,902,2.106430155210643
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,0.5-1km,0.5,1.0,2512,2.0302547770700636
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,1-2km,1.0,2.0,7761,2.6285272516428297
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,2-3km,2.0,3.0,13706,1.8386108273748722
hostdime-joao-pessoa,hostdime-joao-pessoa,tratamento,3-5km,3.0,5.0,46521,1.7347004578577416
hostdime-joao-pessoa,ctrl-hostdime-joao-pessoa-p01,controle,0-0.5km,0.0,0.5,901,1.3318534961154274
hostdime-joao-pessoa,ctrl-hostdime-joao-pessoa-p01,controle,0.5-1km,0.5,1.0,2698,2.001482579688658
hostdime-joao-pessoa,ctrl-hostdime-joao-pessoa-p01,controle,1-2km,1.0,2.0,10750,2.818604651162791
hostdime-joao-pessoa,ctrl-hostdime-joao-pessoa-p01,controle,2-3km,2.0,3.0,17763,0.9851939424646737
hostdime-joao-pessoa,ctrl-hostdime-joao-pessoa-p01,controle,3-5km,3.0,5.0,51314,1.5258993646957946
